symbol,mu,alpha,gamma,success,message,n_raw,n_after_dedup,T,neg_ll
SXTUSDT,2.306943136233449e-08,0.00015348425475886763,0.0004350968920263925,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3205,3074,86261375237,47924.12994124806
SYNUSDT,9.79114960347e-07,0.00039785507925068616,0.0006781207083646976,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,314672,204680,86399178270,2317484.915274295
TAOUSDT,2.1851449301290966e-07,3.497997821075141e-05,7.45952853443294e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,36069,35544,86386794462,497840.9477903755
THEUSDT,1.580000346639168e-07,4.399262599736999e-05,7.581384559600106e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,35615,32515,86380003778,434649.27658994467
TIAUSDT,2.0295136387294715e-07,0.00015689300817172427,0.00034997764771448346,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,34502,31775,86379870877,429574.07307937776
TONUSDT,,,,False,no usable data,0,0,,
TOWNSUSDT,3.0775234238072974e-08,0.000557886992456652,0.0009982683044651272,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4502,4376,86392132770,65336.474594462634
TREEUSDT,2.1424271135303585e-08,0.000320725073706248,0.0006239616646716078,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3230,3116,85686514912,47031.40420470256
TRUMPUSDT,1.3285689176088995e-07,4.306972031708787e-05,7.5694472482906e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,27126,26619,86357571480,359412.54769270425
TRXUSDT,4.7143095004622437e-07,9.753549419356558e-05,0.000572875465910353,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,49236,49085,86394167165,718041.525150782
TUSDT,1.6339606202299145e-08,5.5319103504477474e-05,0.00046473685867090927,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,1687,1627,85708455869,28996.67799998535
UNIUSDT,1.6958445894859308e-07,0.000196036331322791,0.00046482467969321325,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,26774,25324,86359690274,343553.7581691864
USD1USDT,9.99455240681155e-07,3.4338127248126053e-05,6.359001583773192e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,189567,187694,86388445473,2384019.8964538956
USDCUSDT,3.0828812893113345e-06,5.626396416725806e-05,0.00013233052129674885,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,464858,463376,86399577741,5695084.920487396
UTKUSDT,,,,False,no usable data,0,0,,
UUSDT,8.54258217343509e-08,0.00014220643433425896,0.0004055086751880073,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21208,21190,86371882565,313424.3461737087
VANAUSDT,2.191291936452432e-08,6.608202390585746e-05,0.00011604313028156345,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,4450,4191,86329689540,58391.184819775335
VANRYUSDT,2.2395068925385975e-08,0.0006896763029250899,0.001163699025171329,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3674,3135,86348281622,47696.432486042315
VIRTUALUSDT,1.4247916809547892e-07,9.28221532766051e-05,0.0002495052118868262,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,25326,19602,86398218619,282122.18324847426
WBTCUSDT,7.058924841925672e-08,9.23186544636378e-06,2.1524279485340252e-05,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,11996,10671,86343617787,163797.4927691385
WLDUSDT,7.54095549842331e-07,0.00024716515903757075,0.0005598197472763716,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,122544,116660,86398395599,1463427.191723504
WLFIUSDT,7.162584560263471e-08,0.0002735618265670313,0.0005743297058355844,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,12006,11812,86368978797,160244.4731690746
XAUTUSDT,3.2121979584343116e-07,0.0001676633303288027,0.0004554793855896109,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,55300,43915,86389753700,602519.7955966104
XECUSDT,2.4063848029526977e-08,0.0002552696028507082,0.0007129727114100485,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,3067,2933,86348613237,47122.89575862504
XLMUSDT,5.376444238728588e-07,0.00018978932183859063,0.000508902664233096,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,76049,74078,86397218149,988149.1151689125
XPLUSDT,5.880335718441427e-07,0.00018709662689459004,0.0003392102636649969,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,134337,113290,86397004959,1387855.5895319586
XRPUSDT,7.609434083013966e-07,3.355525879159155e-05,0.00010954250020323325,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,97536,94777,86397391585,1318953.4389627955
XUSDUSDT,3.5419384681784952e-09,1e-09,0.0369807164141646,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,315,305,86111032110,6239.870444672157
ZAMAUSDT,2.236149509370172e-07,0.00014297374580315322,0.0004008809004369292,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,33348,30028,86393813767,418447.39959001675
ZBTUSDT,6.500658360171483e-07,0.00010078987963659754,0.00024631938030683886,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,103372,95057,86394458292,1253414.9632483488
ZECUSDT,8.688842677000022e-07,0.0002566026823329208,0.0005127611754857471,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,216235,150272,86399832405,1819445.9557330739
